来源,内容
サイバーパンクエッジランナーズE2,さすが アラサカアカデミーのお坊ちゃん
サイバーパンクエッジランナーズE2,そんなんじゃない
サイバーパンクエッジランナーズE2,通ってるだけでも 十分 お坊ちゃんだわ
サイバーパンクエッジランナーズE2,違う！
サイバーパンクエッジランナーズE2,うち 父親もカネもなくてさ
サイバーパンクエッジランナーズE2,アカデミーなんて 行けるような家じゃなかった
サイバーパンクエッジランナーズE2,でも母さんは
サイバーパンクエッジランナーズE2,俺をアカデミーに行かせたいって 相当 無理してて…
サイバーパンクエッジランナーズE2,けど 行って すぐに分かった
サイバーパンクエッジランナーズE2,こんなやつらに なじめるわけないって
サイバーパンクエッジランナーズE2,それが分かって なんですぐに辞めなかったの？
サイバーパンクエッジランナーズE2,無理でしょ
サイバーパンクエッジランナーズE2,アカデミーに行って アラサカに就職して
サイバーパンクエッジランナーズE2,高い所で仕事して…
サイバーパンクエッジランナーズE2,それが母さんの望みっていうか
サイバーパンクエッジランナーズE2,夢ってやつ だったから…
サイバーパンクエッジランナーズE2,それって他人の夢じゃん
サイバーパンクエッジランナーズE2,他人？
サイバーパンクエッジランナーズE2,親子って別々の人間でしょ
サイバーパンクエッジランナーズE2,あんた人の夢のために生きてるの？
サイバーパンクエッジランナーズE2,それって ダメなことなのかな？
サイバーパンクエッジランナーズE2,夢は他人のものじゃないわ
サイバーパンクエッジランナーズE2,自分には夢があるって口ぶりだね
サイバーパンクエッジランナーズE2,マジなの？
サイバーパンクエッジランナーズE2,あんたは地獄っていうけどさ
サイバーパンクエッジランナーズE2,私にとっては ここが地獄
サイバーパンクエッジランナーズE2,ここが？
サイバーパンクエッジランナーズE2,私は遠いとこへ行きたいんだ
サイバーパンクエッジランナーズE2,いいもの見せてあげる
サイバーパンクエッジランナーズE2,すっげえ解像度
サイバーパンクエッジランナーズE2,太陽 熱っ！
サイバーパンクエッジランナーズE2,パーソナルリンク経由で 太陽光の熱を感じさせてるの
サイバーパンクエッジランナーズE2,リアルな設定だと 熱すぎてヤバいから
サイバーパンクエッジランナーズE2,人が感じて大丈夫なくらいには セーブしてるわ
サイバーパンクエッジランナーズE2,オフにする？
サイバーパンクエッジランナーズE2,面白いから これでいい
サイバーパンクエッジランナーズE2,何その格好
サイバーパンクエッジランナーズE2,いいでしょ？
サイバーパンクエッジランナーズE2,これ最高！
サイバーパンクエッジランナーズE2,でしょ？
サイバーパンクエッジランナーズE2,こっち来て
サイバーパンクエッジランナーズE2,誰かとやるの 初めてだ
サイバーパンクエッジランナーズE2,そう… なんだ
サイバーパンクエッジランナーズE2,えっと… なんで見せてくれたの？
サイバーパンクエッジランナーズE2,なんでだろ？ あんたには見せてもいいかなって
サイバーパンクエッジランナーズE2,ふーん
サイバーパンクエッジランナーズE2,私たち
サイバーパンクエッジランナーズE2,いいコンビになりそうじゃない？
サイバーパンクエッジランナーズE2,そうだね…
サイバーパンクエッジランナーズE2,エッジを越えちまったな 小僧
サイバーパンクエッジランナーズE2,小僧 悪いがそいつは 俺んだ
サイバーパンクエッジランナーズE2,返してもらうぜ
サイバーパンクエッジランナーズE3,どうすんのさ。
サイバーパンクエッジランナーズE3,大体 俺の中に入ってるはずのもんだろうが！
サイバーパンクエッジランナーズE3,なんで こうなった！
サイバーパンクエッジランナーズE3,外すにもカネが要るってことさ。
サイバーパンクエッジランナーズE3,クソッ。
サイバーパンクエッジランナーズE3,まったく余計なことしやがって。
サイバーパンクエッジランナーズE3,こいつをバラしたら？
サイバーパンクエッジランナーズE3,死体から剥がすほうが いくらか安上がりにならねえか？
サイバーパンクエッジランナーズE3,大して変わんねえよ。
サイバーパンクエッジランナーズE3,安くはなるんだな？
サイバーパンクエッジランナーズE3,少しはな。
サイバーパンクエッジランナーズE3,だとよ！
サイバーパンクエッジランナーズE3,じゃあ 股先から始めるか。
サイバーパンクエッジランナーズE3,人のインプラントを勝手にインストールしたのを後悔するんだな。
サイバーパンクエッジランナーズE3,私の部屋 血まみれにする気？
サイバーパンクエッジランナーズE3,うるせえ。
サイバーパンクエッジランナーズE3,何よ 私が見つけてやったんでしょ。
サイバーパンクエッジランナーズE3,ダマしてたのか…うるせえ。
サイバーパンクエッジランナーズE3,小僧 なんで お前が俺のサンデヴィスタンを持ってる？
サイバーパンクエッジランナーズE3,あんたの？
サイバーパンクエッジランナーズE3,俺が取引相手から買った。
サイバーパンクエッジランナーズE3,だが代金を払ったとたん そいつと連絡が取れなくなった。
サイバーパンクエッジランナーズE3,前払いなんかするからよ。
サイバーパンクエッジランナーズE3,ありえねえ。
サイバーパンクエッジランナーズE3,うるせえ！
サイバーパンクエッジランナーズE3,急いでカネが要るって言うし 信用できる取引相手だった。
サイバーパンクエッジランナーズE3,こんなバックレは初めてだ。
サイバーパンクエッジランナーズE3,待って。
サイバーパンクエッジランナーズE3,取引相手って？
サイバーパンクエッジランナーズE3,グロリア･マルティネスだ。
サイバーパンクエッジランナーズE3,知ってるのか？
サイバーパンクエッジランナーズE3,俺の母さんだ。
サイバーパンクエッジランナーズE3,グロリアの息子か。
サイバーパンクエッジランナーズE3,あいつ 何だって売りもんを自分のガキに。
サイバーパンクエッジランナーズE3,母さんは死んだ。
サイバーパンクエッジランナーズE3,昨日。
サイバーパンクエッジランナーズE3,昨日だと？
サイバーパンクエッジランナーズE3,俺が取引したのは おとといだぞ 何があった？
サイバーパンクエッジランナーズE3,まさか足がついて…車の事故だよ。
サイバーパンクエッジランナーズE3,ギャングの撃ち合いに巻き込まれて。
サイバーパンクエッジランナーズE3,完全に巻き添えさ。
サイバーパンクエッジランナーズE3,サンデヴィスタンとは関係ない。
サイバーパンクエッジランナーズE3,コールしても出ないわけだ。
サイバーパンクエッジランナーズE3,そりゃ気の毒だったな けどよ。
